Caso;Candidato;Ano;CodPart;PartCand;FamPart;ColigCand;PartColig;NumPartColig;Dom1;Dom2;Dom3;Dom4;Dom5;Dom6;Dom7;Cat0;Cat101;Cat103.1;Cat103.2;Cat104;Cat105;Cat106;Cat107;Cat108;Cat109;Cat110;Cat201.1;Cat201.2;Cat202.1;Cat202.2;Cat202.3;Cat202.4;Cat203;Cat204;Cat301;Cat302;Cat303;Cat304;Cat305.1;Cat305.2;Cat305.3;Cat305.5;Cat305.6;Cat401;Cat402;Cat403;Cat404;Cat405;Cat406;Cat407;Cat408;Cat409;Cat410;Cat411;Cat412;Cat413;Cat414;Cat415;Cat416.1;Cat416.2;Cat501;Cat502;Cat503;Cat504;Cat505;Cat506;Cat507;Cat601.1;Cat602.1;Cat602.2;Cat603;Cat604;Cat605.1;Cat605.2;Cat606.1;Cat606.2;Cat607.1;Cat607.2;Cat607.3;Cat608.1;Cat701;Cat702;Cat703.1;Cat703.2;Cat704;Cat705;Cat706;TotalCat;MerEst;ProgCons;Etnonat;Markeco;Planeco;Welfare;AutDem;RILE
1;Fernando Collor de Mello;1989;180410;PRN;Partidos Liberais;Movimento Brasil Novo;PRN, PSL e PST;3;1.370;6.849;16.096;33.733;22.260;12.671;7.021;0.514;0.000;0.000;0.000;0.171;0.000;0.000;0.685;0.514;0.000;0.000;0.856;0.514;4.281;0.000;0.000;0.171;0.856;0.171;2.911;0.000;3.938;3.767;0.342;4.966;0.171;0.000;0.000;4.623;0.342;1.199;0.171;1.027;0.000;2.740;0.514;0.171;2.740;11.986;0.342;0.171;5.308;0.000;0.000;2.397;2.226;2.397;4.623;7.021;0.685;5.308;0.000;4.452;0.000;0.171;0.514;0.000;3.596;0.171;2.397;0.685;0.000;0.000;0.685;0.000;3.082;0.000;2.740;0.000;0.000;0.000;1.199;100.000;1.199;0.514;4.966;9.932;1.712;11.644;-4.110;10.959
3;Luiz Inácio Lula da Silva;1989;180230;PT;Partidos Socialistas;Frente Brasil Popular;PT, PSB e PCdoB;3;12.732;7.697;8.269;25.150;31.016;2.890;12.246;0.086;0.029;0.343;9.528;0.000;1.974;0.143;0.200;0.200;0.315;0.000;0.086;1.259;4.177;0.029;0.258;1.288;0.200;0.401;1.230;0.000;1.431;2.260;1.631;1.660;0.000;0.029;0.029;0.000;0.000;4.864;0.515;0.086;0.086;0.572;0.172;1.144;0.629;4.406;1.946;5.494;0.258;2.203;0.000;2.775;1.288;0.858;13.648;10.644;0.000;4.578;0.000;0.429;0.801;0.000;0.000;0.000;0.687;0.429;0.057;0.200;0.114;0.000;0.172;0.000;7.954;0.000;3.433;0.172;0.000;0.401;0.286;100.000;-28.927;-16.881;0.429;0.258;7.325;24.292;-8.698;-46.495
2;Mário Covas;1989;180309;PSDB;CHR;N.A.;N.A.;0;6.468;10.945;31.343;24.876;10.448;12.438;3.483;0.000;0.000;0.000;3.483;0.000;0.000;0.000;2.488;0.498;0.000;0.000;0.000;0.000;8.955;0.000;0.000;0.000;0.000;1.990;0.498;0.000;2.488;4.478;6.965;16.418;0.498;0.000;0.000;3.483;1.990;0.000;0.498;0.000;0.000;4.478;0.000;0.000;2.985;4.478;0.000;0.000;6.965;0.000;0.000;0.000;1.990;0.000;3.980;0.000;0.000;4.478;0.000;10.945;0.000;0.000;0.498;0.000;0.000;0.000;0.995;0.000;0.000;0.000;0.000;0.000;0.498;0.000;2.985;0.000;0.000;0.000;0.000;100.000;16.418;2.985;11.443;10.448;0.498;3.980;11.940;32.836
4;Enéas Carneiro;1994;180710;PRONA;Partidos Nacionalistas;N.A.;N.A.;0;6.308;6.513;10.821;31.231;30.564;7.590;6.974;0.000;0.051;4.000;1.231;0.769;0.000;0.000;0.103;0.154;0.000;0.000;0.000;0.000;6.308;0.000;0.000;0.000;0.205;0.000;0.103;0.410;3.026;1.897;2.359;0.513;2.410;0.103;0.000;0.821;0.513;0.923;0.513;0.000;0.359;0.769;4.769;0.000;2.410;9.744;1.538;1.385;0.821;0.000;0.051;6.615;3.487;0.410;0.462;14.051;0.051;12.103;0.000;2.923;0.000;0.000;2.923;0.000;1.487;0.000;0.205;0.000;0.000;0.000;0.051;0.000;1.692;0.308;4.154;0.103;0.000;0.000;0.718;100.000;-22.462;4.000;5.846;1.641;2.974;14.513;-0.462;-27.333
5;Fernando Henrique Cardoso;1994;180310;PSDB;Partidos Conservadores;Mãos à Obra Brasil;PSDB, PFL e PTB;3;3.364;3.993;14.270;36.562;22.514;6.691;12.606;0.000;0.037;0.037;0.000;0.296;0.000;0.037;1.627;1.331;0.000;0.000;0.074;0.185;2.957;0.037;0.222;0.037;0.259;0.222;3.401;0.000;5.619;1.072;1.146;3.031;0.000;0.000;0.000;5.582;1.774;1.442;0.591;0.148;0.739;2.736;0.259;0.222;0.813;13.604;0.111;0.000;6.100;0.000;0.000;2.440;0.296;3.549;4.917;5.989;1.368;6.137;0.259;0.296;0.222;0.000;0.000;0.000;3.179;0.074;1.442;0.702;0.111;0.000;0.665;0.000;3.401;0.037;5.619;0.000;0.000;1.553;1.996;100.000;5.878;-5.582;0.296;11.682;2.144;10.906;-0.370;4.880
6;Luiz Inácio Lula da Silva;1994;180230;PT;Partidos Socialistas;Uma Revolução Democrática no Brasil;PT, PSB, PCdoB, PPS, PV e PSTU;6;4.134;12.429;11.586;23.470;32.363;3.454;12.565;0.000;0.299;0.408;1.088;0.571;0.326;0.082;0.789;0.544;0.027;0.000;0.000;0.571;10.606;0.000;0.272;0.299;0.680;0.000;2.366;0.245;4.351;0.897;1.904;0.462;0.462;0.897;0.000;0.027;1.414;1.414;0.163;0.245;0.435;0.054;2.801;0.870;0.653;9.274;0.299;0.490;0.027;2.094;0.027;3.182;8.023;5.385;2.448;10.362;0.027;6.119;0.000;0.027;0.000;0.000;0.000;0.000;1.414;0.000;0.761;0.272;0.218;0.000;0.761;0.000;3.563;0.000;2.720;0.000;0.054;1.904;4.324;100.000;-18.031;-12.510;0.027;0.054;1.877;12.809;-10.063;-27.142
7;Ciro Gomes;1998;180232;PPS;Partidos Socialistas;Brasil Real e Justo;PPS, PL e PAN;3;0.319;6.390;20.767;27.796;23.642;5.112;15.974;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.319;0.000;0.319;0.000;2.556;0.000;0.319;0.319;0.319;2.556;4.792;0.000;5.112;2.875;4.473;2.875;0.639;0.000;0.000;2.236;0.000;7.029;1.278;0.000;0.000;0.000;0.958;0.958;3.834;4.473;3.514;0.000;2.556;0.000;0.000;0.958;0.000;3.195;5.112;9.904;0.000;5.431;0.000;0.000;0.000;0.000;0.000;0.000;4.153;0.000;0.639;0.319;0.000;0.000;0.000;0.000;4.153;0.000;10.863;0.000;0.319;0.319;0.319;100.000;-18.850;-0.958;0.000;4.792;11.821;15.016;3.195;-15.974
8;Fernando Henrique Cardoso;1998;180310;PSDB;Partidos Conservadores;Avança, Brasil/União, Trabalho e Progresso ;PSDB, PPB, PTB, PFL e PSD;5;2.492;9.895;11.874;28.341;27.975;4.862;14.561;1.099;0.098;0.024;0.024;0.391;0.024;0.098;1.075;0.733;0.024;0.000;0.024;1.539;7.843;0.000;0.171;0.171;0.147;0.000;3.689;0.122;4.569;0.244;1.735;1.515;0.000;0.000;0.000;1.881;3.054;0.391;0.415;0.000;0.733;0.244;2.345;1.295;1.808;11.507;0.195;0.000;2.736;0.000;0.000;1.735;0.855;2.590;2.736;15.710;0.635;5.399;0.049;0.122;0.049;0.000;0.000;0.000;1.613;0.000;1.857;0.073;0.562;0.000;0.586;0.000;3.811;0.000;6.719;0.024;0.024;0.977;3.005;100.000;-11.923;-4.813;0.122;4.618;1.002;18.446;-8.478;-18.519
9;Luiz Inácio Lula da Silva;1998;180230;PT;Partidos Socialistas;União do Povo Muda Brasil;PT, PDT, PCB, PSB e PC do B;5;4.265;7.109;12.322;19.431;28.436;7.583;20.853;0.000;0.000;0.000;0.948;0.000;0.000;0.474;0.948;0.474;1.422;0.000;0.474;1.422;5.213;0.000;0.000;0.000;0.000;0.000;1.422;0.000;0.474;2.844;7.109;0.000;0.000;0.474;0.000;0.000;2.844;0.948;1.422;0.948;2.370;0.000;0.474;3.791;3.318;1.422;0.000;0.948;0.000;0.000;0.000;0.948;2.370;3.318;7.583;9.479;0.000;5.687;0.000;2.844;0.000;0.000;0.000;0.000;3.318;0.474;0.000;0.000;0.474;0.000;0.474;0.000;9.953;0.000;9.479;0.000;0.000;0.474;0.948;100.000;-18.009;-4.739;2.844;0.000;2.370;17.062;-0.948;-19.431
11;Anthony Garotinho;2002;180240;PSB;Partidos Socialistas;Brasil Esperança; PSB, PGT e PTC;3;12.183;4.967;9.553;35.109;24.680;7.125;6.383;3.506;0.000;2.383;2.248;2.495;0.607;0.652;1.461;0.562;1.753;0.022;0.045;0.382;3.709;0.000;0.022;0.045;0.517;0.247;1.663;0.270;3.933;1.214;1.079;1.394;0.000;0.000;0.000;0.135;1.079;1.101;1.236;0.247;0.337;0.584;2.742;0.674;7.687;11.553;0.382;0.292;1.843;0.180;0.337;4.698;2.607;4.271;6.406;3.866;0.000;7.530;0.000;1.394;1.079;0.000;0.022;0.000;2.989;0.315;0.652;0.382;0.292;0.000;0.000;0.000;2.090;0.000;3.889;0.000;0.000;0.067;0.337;100.000;-9.710;-4.203;1.416;1.978;2.720;10.272;-0.045;-12.655
